product_id,active,name,category,price,on_sale,discount_amount,discount_percent,manufacturer,scale,height,hero,theme,series,material,packaging,accessories,range_of_motion,type,code,description,image_urls,dimensions
186,1,Figurka Bleach POP! - Uryu Ishida (1696),14,72.00,0,,,"Funko
",,"10
 cm",Uryu Ishida,Anime / Manga,POP! Animation,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Figurka POP!,889698755108,"Funko POP! Vinyl Uryu Ishida dla kolekcjonera i fana anime
Urocza mini figurka Uryu Ishida z kolekcji POP! Vinyl prosto od cenionego producenta Funko. Wzorowana jest bezpośrednio na postaci z serii anime / mangi Bleach i wykonana została na pełnej licencji marki. Stanowi wspaniałą pozycję dla kolekcjonera, jak i każdego fana postaci.
Czy chcesz podarować fanowi doskonały prezent, czy też jesteś sam ogromnym POP maniakiem i masz ochotę rozbudować swoją kolekcję, oto figurka Funko która z pewnością przypadnie do gustu każdemu. 
Cechy charakterystyczne Figurki Funko POP!
Funko to prawdziwy fenomen ostatnich lat, który szturmem podbił serca fanów na całym świecie. Stworzone przez pasjonatów i z myślą o każdym geeku popkultury, czy to tego łaknącego nowości czy też pasjonującego się retro produkcjami. Producent wyszedł z założenia by każdemu dostarczyć wysokiej jakości i w przystępnej cenie produkt kolekcjonerski który będzie mógł sobie postawić na półce. I tak właśnie powstały POPy.
Jest to bez wątpienia nie tylko świetna pozycja dla kolekcjonerów, ale także dla dzieci do zabawy, czy i dorosłej osoby która chciałaby mieć postać znaną z lat dzieciństwa. W kolekcji POP Vinyl odnajdziemy dosłownie setki pozycji, pochodzących z najróżniejszej tematyki. Od klasyki kina, przez nowe gry video, aż po gwiazdach muzyki skończywszy. Jednym słowem każdy tu znajdzie coś dla siebie.
Sama Figurka POP! charakteryzuje się wysokością około 9 cm, oraz jest statyczna, czyli nie posiada żadnych elementów ruchomych. Jedynie w tym przypadku główka jest obracana. A wspomniana głowa to właśnie jeden z głównych elementów którymi się charakteryzują tzw. POPy. Zawsze większe od ciała, niczym napompowane i posiadające równie wielkie oczy, co nadaje im ogromnego uroku. Być może dlatego tak wielu ludzi nie jest w stanie się im oprzeć.
Ona sama jest pakowana w bardzo gustowne tekturowe pudełeczko z okienkiem, dzięki czemu postać możemy trzymać zarówno wewnątrz, czy też na tle pudełka, a w każdym przypadku będzie się prezentować atrakcyjnie. Co więcej, producent niemal w każdej kolekcji wydaje kilka różnych postaci, dzięki czemu możemy sobie zebrać wspaniałą grupę bohaterów znanych z danego uniwersum. A następnie je dumnie prezentować na półce, czy też biurku.","1_6ohf-c9.webp,2_0ti2-ot.jpg,",
187,1,Brelok Bleach POP! - Kon,14,35.90,0,,,"Funko
",,"4
 cm",,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698755146,"Brelok do kluczy w postaci uroczej mini figurki POP! Kon. Wzorowany na postaci z niezwykle popularnego anime Bleach i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_j4ta-ip.jpg,",
188,1,Figurka Disney: Kubuś Puchatek POP! - Królik (1515),14,72.00,0,,,"Funko
",,"11
 cm",,Animacje,POP! Disney,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Figurka POP!,889698802390,"Funko POP! Vinyl Królik dla kolekcjonera i fana animacji Disneya
Urocza mini figurka Królik z kolekcji POP! Vinyl prosto od cenionego producenta Funko. Wzorowana jest bezpośrednio na postaci z serii książek i produkcji animowanych Kubuś Puchatek. Wykonana została na pełnej licencji marki Disney. Stanowi wspaniałą pozycję dla kolekcjonera, jak i fana postaci.
Czy chcesz podarować fanowi doskonały prezent, czy też jesteś sam ogromnym POP maniakiem i masz ochotę rozbudować swoją kolekcję, oto figurka Funko która z pewnością przypadnie do gustu każdemu.
Cechy charakterystyczne Figurki Funko POP!
Funko to prawdziwy fenomen ostatnich lat, który szturmem podbił serca fanów na całym świecie. Stworzone przez pasjonatów i z myślą o każdym geeku popkultury, czy to tego łaknącego nowości czy też pasjonującego się retro produkcjami. Producent wyszedł z założenia by każdemu dostarczyć wysokiej jakości i w przystępnej cenie produkt kolekcjonerski który będzie mógł sobie postawić na półce. I tak właśnie powstały POPy.
Jest to bez wątpienia nie tylko świetna pozycja dla kolekcjonerów, ale także dla dzieci do zabawy, czy i dorosłej osoby która chciałaby mieć postać znaną z lat dzieciństwa. W kolekcji POP Vinyl odnajdziemy dosłownie setki pozycji, pochodzących z najróżniejszej tematyki. Od klasyki kina, przez nowe gry video, aż po gwiazdach muzyki skończywszy. Jednym słowem każdy tu znajdzie coś dla siebie.
Sama Figurka POP! charakteryzuje się wysokością około 9 cm, oraz jest statyczna, czyli nie posiada żadnych elementów ruchomych. Jedynie w tym przypadku główka jest obracana. A wspomniana głowa to właśnie jeden z głównych elementów którymi się charakteryzują tzw. POPy. Zawsze większe od ciała, niczym napompowane i posiadające równie wielkie oczy, co nadaje im ogromnego uroku. Być może dlatego tak wielu ludzi nie jest w stanie się im oprzeć.
Ona sama jest pakowana w bardzo gustowne tekturowe pudełeczko z okienkiem, dzięki czemu postać możemy trzymać zarówno wewnątrz, czy też na tle pudełka, a w każdym przypadku będzie się prezentować atrakcyjnie. Co więcej, producent niemal w każdej kolekcji wydaje kilka różnych postaci, dzięki czemu możemy sobie zebrać wspaniałą grupę bohaterów znanych z danego uniwersum. A następnie je dumnie prezentować na półce, czy też biurku.","1_gvks-wx.jpg,2_faom-97.jpg,",
189,1,Figurka Disney: Kubuś Puchatek POP! - Tygrys (1517),14,72.00,0,,,"Funko
",,"11
 cm",,Animacje,POP! Disney,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Figurka POP!,889698802413,"Funko POP! Vinyl Tygrys dla kolekcjonera i fana animacji Disneya
Urocza mini figurka Tygrys z kolekcji POP! Vinyl prosto od cenionego producenta Funko. Wzorowana jest bezpośrednio na postaci z serii książek i produkcji animowanych Kubuś Puchatek. Wykonana została na pełnej licencji marki Disney. Stanowi wspaniałą pozycję dla kolekcjonera, jak i fana postaci.
Czy chcesz podarować fanowi doskonały prezent, czy też jesteś sam ogromnym POP maniakiem i masz ochotę rozbudować swoją kolekcję, oto figurka Funko która z pewnością przypadnie do gustu każdemu.
Cechy charakterystyczne Figurki Funko POP!
Funko to prawdziwy fenomen ostatnich lat, który szturmem podbił serca fanów na całym świecie. Stworzone przez pasjonatów i z myślą o każdym geeku popkultury, czy to tego łaknącego nowości czy też pasjonującego się retro produkcjami. Producent wyszedł z założenia by każdemu dostarczyć wysokiej jakości i w przystępnej cenie produkt kolekcjonerski który będzie mógł sobie postawić na półce. I tak właśnie powstały POPy.
Jest to bez wątpienia nie tylko świetna pozycja dla kolekcjonerów, ale także dla dzieci do zabawy, czy i dorosłej osoby która chciałaby mieć postać znaną z lat dzieciństwa. W kolekcji POP Vinyl odnajdziemy dosłownie setki pozycji, pochodzących z najróżniejszej tematyki. Od klasyki kina, przez nowe gry video, aż po gwiazdach muzyki skończywszy. Jednym słowem każdy tu znajdzie coś dla siebie.
Sama Figurka POP! charakteryzuje się wysokością około 9 cm, oraz jest statyczna, czyli nie posiada żadnych elementów ruchomych. Jedynie w tym przypadku główka jest obracana. A wspomniana głowa to właśnie jeden z głównych elementów którymi się charakteryzują tzw. POPy. Zawsze większe od ciała, niczym napompowane i posiadające równie wielkie oczy, co nadaje im ogromnego uroku. Być może dlatego tak wielu ludzi nie jest w stanie się im oprzeć.
Ona sama jest pakowana w bardzo gustowne tekturowe pudełeczko z okienkiem, dzięki czemu postać możemy trzymać zarówno wewnątrz, czy też na tle pudełka, a w każdym przypadku będzie się prezentować atrakcyjnie. Co więcej, producent niemal w każdej kolekcji wydaje kilka różnych postaci, dzięki czemu możemy sobie zebrać wspaniałą grupę bohaterów znanych z danego uniwersum. A następnie je dumnie prezentować na półce, czy też biurku.","1_m3ve-ay.webp,2_xm3q-yd.jpg,",
190,1,Figurka Star Wars: Dark Side POP! Deluxe - Darth Vader na tronie (745),14,165.90,0,,,"Funko
",,"11
 cm",Darth Vader,Star Wars,POP! Star Wars,"Vinyl
","Pudełko z okienkiem
","Tylko podstawka
","Statyczna (brak punktów ruchu)
",Figurka POP!,889698807678,"Funko POP! Darth Vader na tronie dla kolekcjonera i fana
Urocza mini figurka Darth Vader na tronie w specjalnym wydaniu Deluxe, z kolekcji POP! Vinyl prosto od cenionego producenta Funko. Wzorowana jest bezpośrednio na postaci z uniwersum Star Wars / Gwiezdne Wojny i wykonana została na pełnej licencji marki.
Czy chcesz podarować fanowi doskonały prezent, czy też jesteś sam ogromnym POP maniakiem i masz ochotę rozbudować swoją kolekcję, oto figurka Funko która z pewnością przypadnie do gustu każdemu. 
Cechy charakterystyczne Figurki Funko POP!
Funko to prawdziwy fenomen ostatnich lat, który szturmem podbił serca fanów na całym świecie. Stworzone przez pasjonatów i z myślą o każdym geeku popkultury, czy to tego łaknącego nowości czy też pasjonującego się retro produkcjami. Producent wyszedł z założenia by każdemu dostarczyć wysokiej jakości i w przystępnej cenie produkt kolekcjonerski który będzie mógł sobie postawić na półce. I tak właśnie powstały POPy.
Jest to bez wątpienia nie tylko świetna pozycja dla kolekcjonerów, ale także dla dzieci do zabawy, czy i dorosłej osoby która chciałaby mieć postać znaną z lat dzieciństwa. W kolekcji POP Vinyl odnajdziemy dosłownie setki pozycji, pochodzących z najróżniejszej tematyki. Od klasyki kina, przez nowe gry video, aż po gwiazdach muzyki skończywszy. Jednym słowem każdy tu znajdzie coś dla siebie.
Sama Figurka POP! charakteryzuje się wysokością około 9 cm, oraz jest statyczna, czyli nie posiada żadnych elementów ruchomych. Jedynie w tym przypadku główka jest obracana. A wspomniana głowa to właśnie jeden z głównych elementów którymi się charakteryzują tzw. POPy. Zawsze większe od ciała, niczym napompowane i posiadające równie wielkie oczy, co nadaje im ogromnego uroku. Być może dlatego tak wielu ludzi nie jest w stanie się im oprzeć.
Ona sama jest pakowana w bardzo gustowne tekturowe pudełeczko z okienkiem, dzięki czemu postać możemy trzymać zarówno wewnątrz, czy też na tle pudełka, a w każdym przypadku będzie się prezentować atrakcyjnie. Co więcej, producent niemal w każdej kolekcji wydaje kilka różnych postaci, dzięki czemu możemy sobie zebrać wspaniałą grupę bohaterów znanych z danego uniwersum. A następnie je dumnie prezentować na półce, czy też biurku.","1_g9g5-w6.webp,",
191,1,Figurka Spider-Man: Across the Spider-Verse POP! - Spider-Man 2099 (1409),14,72.00,0,,,"Funko
",,"10
 cm",Spider-Man,Marvel,POP! Marvel,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Figurka POP!,889698826471,"Funko POP! Vinyl Spider-Man 2099 dla kolekcjonera i fana superbohaterów
Urocza mini figurka Spider-Man 2099 z kolekcji POP! Vinyl prosto od cenionego producenta Funko. Wzorowana jest bezpośrednio na postaci z filmu Spider-Man: Poprzez multiwersum, opartego na historiach z komiksów wydawnictwa Marvel. Stanowi wspaniałą pozycję dla kolekcjonera, jak i fana superbohaterów, czy to tych widzianych w grach, filmach czy też komiksach.
Czy chcesz podarować fanowi doskonały prezent, czy też jesteś sam ogromnym POP maniakiem i masz ochotę rozbudować swoją kolekcję, oto figurka Funko która z pewnością przypadnie do gustu każdemu.
Cechy charakterystyczne Figurki Funko POP!
Funko to prawdziwy fenomen ostatnich lat, który szturmem podbił serca fanów na całym świecie. Stworzone przez pasjonatów i z myślą o każdym geeku popkultury, czy to tego łaknącego nowości czy też pasjonującego się retro produkcjami. Producent wyszedł z założenia by każdemu dostarczyć wysokiej jakości i w przystępnej cenie produkt kolekcjonerski który będzie mógł sobie postawić na półce. I tak właśnie powstały POPy.
Jest to bez wątpienia nie tylko świetna pozycja dla kolekcjonerów, ale także dla dzieci do zabawy, czy i dorosłej osoby która chciałaby mieć postać znaną z lat dzieciństwa. W kolekcji POP Vinyl odnajdziemy dosłownie setki pozycji, pochodzących z najróżniejszej tematyki. Od klasyki kina, przez nowe gry video, aż po gwiazdach muzyki skończywszy. Jednym słowem każdy tu znajdzie coś dla siebie.
Sama Figurka POP! charakteryzuje się wysokością około 9 cm, oraz jest statyczna, czyli nie posiada żadnych elementów ruchomych. Jedynie w tym przypadku główka została osadzona na sprężynce przez co ma dodatkową bujaną funkcję. A wspomniana głowa to właśnie jeden z głównych elementów którymi się charakteryzują tzw. POPy. Zawsze większe od ciała, niczym napompowane i posiadające równie wielkie oczy, co nadaje im ogromnego uroku. Być może dlatego tak wielu ludzi nie jest w stanie się im oprzeć.
Ona sama jest pakowana w bardzo gustowne tekturowe pudełeczko z okienkiem, dzięki czemu postać możemy trzymać zarówno wewnątrz, czy też na tle pudełka, a w każdym przypadku będzie się prezentować atrakcyjnie. Co więcej, producent niemal w każdej kolekcji wydaje kilka różnych postaci, dzięki czemu możemy sobie zebrać wspaniałą grupę bohaterów znanych z danego uniwersum. A następnie je dumnie prezentować na półce, czy też biurku.","1_cnf8-b3.webp,",
192,1,Figurka Lord of the Rings POP! - Legolas,14,72.00,0,,,"Funko
",,"9
 cm",Legolas,Władca Pierścieni & The Hobbit,POP! Movies,,"Pudełko z okienkiem
",,,Figurka POP!,FK33247,"Urocza mini figurka wzorowana na filmie Lord of the Rings / Władca Pierścieni. Figurka Legolas mierzy około 9 cm wysokości i pochodzi z popularnej serii figurek POP! od producenta Funko.
Figurki POP! charakteryzują się głównie swoją wielką głową, która posiada również funkcję obrotu. Pakowane są w estetyczne pudełko z okienkiem.
Jest to z pewnością wspaniały drobny gadżet jako prezent dla wielbiciela danej tematyki, jak i również świetna pozycja dla kolekcjonerów tych uroczych mini figurek. W kolekcji figurek POP! można odnaleźć masę różnych postaci z filmów, gier i komiksów.","x_fk33247.jpg,",
193,1,Figurka Dragon Ball Z POP! Goku (615),14,72.00,0,,,"Funko
",,"9
 cm",Son Goku,Anime / Manga,POP! Anime,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Figurka POP!,FK39698,"Funko POP! Vinyl Goku dla kolekcjonera i fana anime DBZ
Urocza mini figurka Goku z kolekcji POP! Vinyl prosto od cenionego producenta Funko. Wzorowana jest bezpośrednio na anime Dragon Ball Z i wykonana została na pełnej licencji marki. Stanowi wspaniałą pozycję dla kolekcjonera, jak i fana DragonBalla.
Czy chcesz podarować fanowi doskonały prezent, czy też jesteś sam ogromnym POP maniakiem i masz ochotę rozbudować swoją kolekcję, oto figurka funko która z pewnością przypadnie do gustu każdemu. 
Cechy charakterystyczne Figurki Funko POP!
Funko to prawdziwy fenomen ostatnich lat, który szturmem podbił serca fanów na całym świecie. Stworzone przez pasjonatów i z myślą o każdym geeku popkultury, czy to tego łaknącego nowości czy też pasjonującego się retro produkcjami. Producent wyszedł z założenia by każdemu dostarczyć wysokiej jakości i w przystępnej cenie produkt kolekcjonerski który będzie mógł sobie postawić na półce. I tak właśnie powstały POPy.
Jest to bez wątpienia nie tylko świetna pozycja dla kolekcjonerów, ale także dla dzieci do zabawy, czy i dorosłej osoby która chciałaby mieć postać znaną z lat dzieciństwa. W kolekcji POP Vinyl odnajdziemy dosłownie setki pozycji, pochodzących z najróżniejszej tematyki. Od klasyki kina, przez nowe gry video, aż po gwiazdach muzyki skończywszy. Jednym słowem każdy tu znajdzie coś dla siebie.
Sama Figurka POP! charakteryzuje się wysokością około 9 cm, oraz jest statyczna, czyli nie posiada żadnych elementów ruchomych. Jedynie w tym przypadku główka jest obracana. A wspomniana głowa to właśnie jeden z głównych elementów którymi się charakteryzują tzw. POPy. Zawsze większe od ciała, niczym napompowane i posiadające równie wielkie oczy, co nadaje im ogromnego uroku. Być może dlatego tak wielu ludzi nie jest w stanie się im oprzeć.
Ona sama jest pakowana w bardzo gustowne tekturowe pudełeczko z okienkiem, dzięki czemu postać możemy trzymać zarówno wewnątrz, czy też na tle pudełka, a w każdym przypadku będzie się prezentować atrakcyjnie. Co więcej, producent niemal w każdej kolekcji wydaje kilka różnych postaci, dzięki czemu możemy sobie zebrać wspaniałą grupę bohaterów znanych z danego uniwersum. A następnie je dumnie prezentować na półce, czy też biurku.","889698396981.jpg,",
194,1,Figurka Marvel  Venom POP! Venomized Miles Morales,14,72.00,0,,,"Funko
",,"9
 cm",Spider-Man,Marvel,POP! Marvel,,"Pudełko z okienkiem
",,"Statyczna (brak punktów ruchu)
",Figurka POP!,FK46459,"Urocza mini figurka wzorowana na komiksach Marvel. Figurka Venomized Miles Morales mierzy około 9 cm wysokości i pochodzi z popularnej serii figurek POP! od producenta Funko.
Figurki POP! charakteryzują się głównie swoją wielką głową. Pakowane są w estetyczne pudełko z okienkiem.
Jest to z pewnością wspaniały drobny gadżet jako prezent dla wielbiciela danej tematyki, jak i również świetna pozycja dla kolekcjonerów tych uroczych mini figurek. W kolekcji figurek POP! można odnaleźć masę różnych postaci z filmów, gier i komiksów.","889698464598.jpg,",
195,1,Figurka Naruto POP! - Gaara,14,72.00,0,,,"Funko
",,"9
 cm",Gaara,Anime / Manga,POP! Anime,,"Pudełko z okienkiem
",,"Statyczna (brak punktów ruchu)
",Figurka POP!,FK46627,"Funko POP! Vinyl Gaara dla kolekcjonera i fana anime
Urocza mini figurka Gaara z kolekcji POP! Vinyl prosto od cenionego producenta Funko. Wzorowana jest bezpośrednio na anime Naruto i wykonana została na pełnej licencji marki. Stanowi wspaniałą pozycję dla kolekcjonera, jak i każdego fana anime czy mangi.
Czy chcesz podarować fanowi doskonały prezent, czy też jesteś sam ogromnym POP maniakiem i masz ochotę rozbudować swoją kolekcję, oto figurka funko która z pewnością przypadnie do gustu każdemu. 
Cechy charakterystyczne Figurki Funko POP!
Funko to prawdziwy fenomen ostatnich lat, który szturmem podbił serca fanów na całym świecie. Stworzone przez pasjonatów i z myślą o każdym geeku popkultury, czy to tego łaknącego nowości czy też pasjonującego się retro produkcjami. Producent wyszedł z założenia by każdemu dostarczyć wysokiej jakości i w przystępnej cenie produkt kolekcjonerski który będzie mógł sobie postawić na półce. I tak właśnie powstały POPy.
Jest to bez wątpienia nie tylko świetna pozycja dla kolekcjonerów, ale także dla dzieci do zabawy, czy i dorosłej osoby która chciałaby mieć postać znaną z lat dzieciństwa. W kolekcji POP Vinyl odnajdziemy dosłownie setki pozycji, pochodzących z najróżniejszej tematyki. Od klasyki kina, przez nowe gry video, aż po gwiazdach muzyki skończywszy. Jednym słowem każdy tu znajdzie coś dla siebie.
Sama Figurka POP! charakteryzuje się wysokością około 9 cm, oraz jest statyczna, czyli nie posiada żadnych elementów ruchomych. Jedynie w tym przypadku główka jest obracana. A wspomniana głowa to właśnie jeden z głównych elementów którymi się charakteryzują tzw. POPy. Zawsze większe od ciała, niczym napompowane i posiadające równie wielkie oczy, co nadaje im ogromnego uroku. Być może dlatego tak wielu ludzi nie jest w stanie się im oprzeć.
Ona sama jest pakowana w bardzo gustowne tekturowe pudełeczko z okienkiem, dzięki czemu postać możemy trzymać zarówno wewnątrz, czy też na tle pudełka, a w każdym przypadku będzie się prezentować atrakcyjnie. Co więcej, producent niemal w każdej kolekcji wydaje kilka różnych postaci, dzięki czemu możemy sobie zebrać wspaniałą grupę bohaterów znanych z danego uniwersum. A następnie je dumnie prezentować na półce, czy też biurku.","889698466271.jpg,",
196,1,Figurka Disney Ultimate Princess POP! - Roszpunka (1018),14,72.00,0,,,"Funko
",,"9
 cm",Roszpunka,Disney,POP! Disney,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Figurka POP!,889698559720,"Funko POP! Vinyl Rapunzel / Roszpunka dla kolekcjonera i fana animacji Disneya
Urocza mini figurka Rapunzel / Roszpunka z kolekcji POP! Vinyl prosto od cenionego producenta Funko. Wzorowana jest bezpośrednio na postaci z animacji studia Disney, wykonana została na pełnej licencji marki. Stanowi wspaniałą pozycję dla kolekcjonera, jak i fana bohaterki.
Czy chcesz podarować fanowi doskonały prezent, czy też jesteś sam ogromnym POP maniakiem i masz ochotę rozbudować swoją kolekcję, oto figurka funko która z pewnością przypadnie do gustu każdemu.
Cechy charakterystyczne Figurki Funko POP!
Funko to prawdziwy fenomen ostatnich lat, który szturmem podbił serca fanów na całym świecie. Stworzone przez pasjonatów i z myślą o każdym geeku popkultury, czy to tego łaknącego nowości czy też pasjonującego się retro produkcjami. Producent wyszedł z założenia by każdemu dostarczyć wysokiej jakości i w przystępnej cenie produkt kolekcjonerski który będzie mógł sobie postawić na półce. I tak właśnie powstały POPy.
Jest to bez wątpienia nie tylko świetna pozycja dla kolekcjonerów, ale także dla dzieci do zabawy, czy i dorosłej osoby która chciałaby mieć postać znaną z lat dzieciństwa. W kolekcji POP Vinyl odnajdziemy dosłownie setki pozycji, pochodzących z najróżniejszej tematyki. Od klasyki kina, przez nowe gry video, aż po gwiazdach muzyki skończywszy. Jednym słowem każdy tu znajdzie coś dla siebie.
Sama Figurka POP! charakteryzuje się wysokością około 9 cm, oraz jest statyczna, czyli nie posiada żadnych elementów ruchomych. Jedynie w tym przypadku główka jest obracana. A wspomniana głowa to właśnie jeden z głównych elementów którymi się charakteryzują tzw. POPy. Zawsze większe od ciała, niczym napompowane i posiadające równie wielkie oczy, co nadaje im ogromnego uroku. Być może dlatego tak wielu ludzi nie jest w stanie się im oprzeć.
Ona sama jest pakowana w bardzo gustowne tekturowe pudełeczko z okienkiem, dzięki czemu postać możemy trzymać zarówno wewnątrz, czy też na tle pudełka, a w każdym przypadku będzie się prezentować atrakcyjnie. Co więcej, producent niemal w każdej kolekcji wydaje kilka różnych postaci, dzięki czemu możemy sobie zebrać wspaniałą grupę bohaterów znanych z danego uniwersum. A następnie je dumnie prezentować na półce, czy też biurku.","img_218901_a70993ebeaef97996ded5ef6785e65df_1.jpg,",
197,1,Figurka Jujutsu Kaisen POP! - Megumi w/Dogs,14,72.00,0,,,"Funko
",,"9
 cm",,Anime / Manga,POP! Anime,,"Pudełko z okienkiem
",,"Statyczna (brak punktów ruchu)
",Figurka POP!,889698613606,"Funko POP! Vinyl Megumi w/Dogs dla kolekcjonera i fana anime
Urocza mini figurka Megumi w/Dogs z kolekcji POP! Vinyl prosto od cenionego producenta Funko. Wzorowana jest bezpośrednio na postaci z serii Jujutsu Kaisen i wykonana została na pełnej licencji marki. Stanowi wspaniałą pozycję dla kolekcjonera, jak i każdego fana anime czy mangi.
Czy chcesz podarować fanowi doskonały prezent, czy też jesteś sam ogromnym POP maniakiem i masz ochotę rozbudować swoją kolekcję, oto figurka funko która z pewnością przypadnie do gustu każdemu. 
Cechy charakterystyczne Figurki Funko POP!
Funko to prawdziwy fenomen ostatnich lat, który szturmem podbił serca fanów na całym świecie. Stworzone przez pasjonatów i z myślą o każdym geeku popkultury, czy to tego łaknącego nowości czy też pasjonującego się retro produkcjami. Producent wyszedł z założenia by każdemu dostarczyć wysokiej jakości i w przystępnej cenie produkt kolekcjonerski który będzie mógł sobie postawić na półce. I tak właśnie powstały POPy.
Jest to bez wątpienia nie tylko świetna pozycja dla kolekcjonerów, ale także dla dzieci do zabawy, czy i dorosłej osoby która chciałaby mieć postać znaną z lat dzieciństwa. W kolekcji POP Vinyl odnajdziemy dosłownie setki pozycji, pochodzących z najróżniejszej tematyki. Od klasyki kina, przez nowe gry video, aż po gwiazdach muzyki skończywszy. Jednym słowem każdy tu znajdzie coś dla siebie.
Sama Figurka POP! charakteryzuje się wysokością około 9 cm, oraz jest statyczna, czyli nie posiada żadnych elementów ruchomych. Jedynie w tym przypadku główka jest obracana. A wspomniana głowa to właśnie jeden z głównych elementów którymi się charakteryzują tzw. POPy. Zawsze większe od ciała, niczym napompowane i posiadające równie wielkie oczy, co nadaje im ogromnego uroku. Być może dlatego tak wielu ludzi nie jest w stanie się im oprzeć.
Ona sama jest pakowana w bardzo gustowne tekturowe pudełeczko z okienkiem, dzięki czemu postać możemy trzymać zarówno wewnątrz, czy też na tle pudełka, a w każdym przypadku będzie się prezentować atrakcyjnie. Co więcej, producent niemal w każdej kolekcji wydaje kilka różnych postaci, dzięki czemu możemy sobie zebrać wspaniałą grupę bohaterów znanych z danego uniwersum. A następnie je dumnie prezentować na półce, czy też biurku.","889698613606.jpg,",
198,1,Figurka Dragon Ball Z POP! - Ginyu,14,72.00,0,,,"Funko
",,"10
 cm",Ginyu,Anime / Manga,POP! Animation,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Figurka POP!,889698486699,"Funko POP! Vinyl Ginyu dla kolekcjonera i fana anime Dragon Ball
Urocza mini figurka Ginyu z kolekcji POP! Vinyl prosto od cenionego producenta Funko. Wzorowana jest bezpośrednio na anime Dragon Ball Z i wykonana została na pełnej licencji marki. Stanowi wspaniałą pozycję dla kolekcjonera, jak i fana Dragon Ball.
Czy chcesz podarować fanowi doskonały prezent, czy też jesteś sam ogromnym POP maniakiem i masz ochotę rozbudować swoją kolekcję, oto figurka funko która z pewnością przypadnie do gustu każdemu. 
Cechy charakterystyczne Figurki Funko POP!
Funko to prawdziwy fenomen ostatnich lat, który szturmem podbił serca fanów na całym świecie. Stworzone przez pasjonatów i z myślą o każdym geeku popkultury, czy to tego łaknącego nowości czy też pasjonującego się retro produkcjami. Producent wyszedł z założenia by każdemu dostarczyć wysokiej jakości i w przystępnej cenie produkt kolekcjonerski który będzie mógł sobie postawić na półce. I tak właśnie powstały POPy.
Jest to bez wątpienia nie tylko świetna pozycja dla kolekcjonerów, ale także dla dzieci do zabawy, czy i dorosłej osoby która chciałaby mieć postać znaną z lat dzieciństwa. W kolekcji POP Vinyl odnajdziemy dosłownie setki pozycji, pochodzących z najróżniejszej tematyki. Od klasyki kina, przez nowe gry video, aż po gwiazdach muzyki skończywszy. Jednym słowem każdy tu znajdzie coś dla siebie.
Sama Figurka POP! charakteryzuje się wysokością około 9 cm, oraz jest statyczna, czyli nie posiada żadnych elementów ruchomych. Jedynie w tym przypadku główka jest obracana. A wspomniana głowa to właśnie jeden z głównych elementów którymi się charakteryzują tzw. POPy. Zawsze większe od ciała, niczym napompowane i posiadające równie wielkie oczy, co nadaje im ogromnego uroku. Być może dlatego tak wielu ludzi nie jest w stanie się im oprzeć.
Ona sama jest pakowana w bardzo gustowne tekturowe pudełeczko z okienkiem, dzięki czemu postać możemy trzymać zarówno wewnątrz, czy też na tle pudełka, a w każdym przypadku będzie się prezentować atrakcyjnie. Co więcej, producent niemal w każdej kolekcji wydaje kilka różnych postaci, dzięki czemu możemy sobie zebrać wspaniałą grupę bohaterów znanych z danego uniwersum. A następnie je dumnie prezentować na półce, czy też biurku.","1_5zg8-jx.jpg,",
