product_id,active,name,category,price,on_sale,discount_amount,discount_percent,manufacturer,scale,height,hero,theme,series,material,packaging,accessories,range_of_motion,type,code,description,image_urls,dimensions
13,1,Brelok Asterix i Obelix - Idefix,7,9.90,0,,,"Puckator
",,"5
 cm",Idefix,Animacje,,"PVC i metal
","Bez opakowania
",,,Brelok do kluczy,5055071763434,"Brelok do kluczy Idefix wykonany z PVC na pełnej licencji marki Asterix i Obelix. Mierzy około 5,5 x 6 cm i posiada dołączony metalowy łańcuszek.","KEY243_001_1633443384.jpg,KEY243_002_1633443384.jpg,","5,5 x 6 cm"
14,1,Brelok My Hero Academia POP! - Kurogiri (Special Edition),7,16.90,0,,,"Funko
",,"4
 cm",Kurogiri,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698687409,"Brelok do kluczy w postaci uroczej mini figurki POP! Kurogiri (Special Edition). Wzorowany na postaci z anime / mangi My Hero Academia i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","x_fk68740.jpg,x_fk68740_b.jpg,",
15,1,Brelok Black Clover POP! - Yami (Special Edition),7,9.90,0,,,"Funko
",,"4
 cm",Yami Sukehiro,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698719292,"Brelok do kluczy w postaci uroczej mini figurki POP! Yami (Special Edition). Wzorowany na postaci z anime / mangi Black Clover i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","Bez_tytułu_oucf-r5.png,",
16,1,Brelok My Hero Academia POP! - Shota Aizawa,7,16.90,0,,,"Funko
",,"4
 cm",Shota Aizawa,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698673341,"Brelok do kluczy w postaci uroczej mini figurki POP! Shota Aizawa. Wzorowany na postaci z anime / mangi My Hero Academia i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_amm9-yv.jpg,",
17,1,Brelok Star Wars The Mandalorian POP! - The Child,7,35.90,0,,,"Funko
",,,Grogu,Star Wars,POP! Star Wars,,"Pudełko z okienkiem
",,,Brelok do kluczy,889698530439,"Brelok do kluczy w postaci uroczej mini figurki POP! The Child. Wzorowany na postaci z pierwszego serialu aktorskiego z uniwersum Star Wars / Gwiezdne Wojny - The Mandalorian,  wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, oraz grafiką nawiązującą do serialowej produkcji.","889698530439.jpg,",
18,1,Brelok Bleach POP! - Ichigo Kurosaki,7,34.90,0,,,"Funko
",,"4
 cm",Ichigo Kurosaki,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698765275,"Brelok do kluczy w postaci uroczej mini figurki POP! Ichigo Kurosaki. Wzorowany na postaci z niezwykle popularnego anime Bleach i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_sa3e-nw.jpg,",
19,1,Brelok 3D z metalu Marvel - Deadpool,7,33.90,0,,,"Pyramid International
",,,Deadpool,Marvel,,"Metal
","Bez opakowania
",,,Brelok do kluczy,5050293391625,"Wysokiej jakości brelok do kluczy, zrobiony z metalu w formie głowy Deadpoola. Jest to w pełni licencjonowany produkt Marvela i charakteryzuje się wysoką jakością wykonania oraz malowania.","1_h3a8-zv.jpg,",
20,1,Brelok Marvel: Agatha POP! - Agatha Harkness,7,30.51,1,3.39,10,"Funko
",,"4
 cm",Agatha Harkness,Marvel,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698757072,"Brelok do kluczy w postaci uroczej mini figurki POP! Agatha Harkness. Wzorowany na postaci z serialu To zawsze Agatha i został wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_0wp3-nv.webp,",
21,1,Brelok Chucky 2 POP! - Chucky,7,35.90,0,,,"Funko
",,"4
 cm",Chucky,Horror,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
",,,Brelok do kluczy,849803048686,"Brelok do kluczy w postaci mini figurki POP! Chucky. Wzorowany na tytułowym bohaterze filmu Powrót Laleczki Chucky i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, oraz grafiką nawiązującą do serialu.","1_bzvt-jh.webp,",
22,1,Brelok Dragon Ball Super: Super Hero POP! - Orange Piccolo,7,35.90,0,,,"Funko
",,"4
 cm",Piccolo,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698756419,"Brelok do kluczy w postaci uroczej mini figurki POP! Orange Piccolo. Wzorowany na postaci z filmu anime Dragon Ball Super: Super Hero i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_400i-3i.jpg,",
